title,authors,description,categories,averageRating,ratingsCount,pageCount,publishedDate,infoLink,query,level,type
The Democratization of Artificial Intelligence,Andreas Sudmann,"After a long time of neglect, Artificial Intelligence is once again at the center of most of our political, economic, and socio-cultural debates. Recent advances in the field of Artifical Neural Networks have led to a renaissance of dystopian and utopian speculations on an AI-rendered future. Algorithmic technologies are deployed for identifying potential terrorists through vast surveillance networks, for producing sentencing guidelines and recidivism risk profiles in criminal justice systems, for demographic and psychographic targeting of bodies for advertising or propaganda, and more generally for automating the analysis of language, text, and images. Against this background, the aim of this book is to discuss the heterogenous conditions, implications, and effects of modern AI and Internet technologies in terms of their political dimension: What does it mean to critically investigate efforts of net politics in the age of machine learning algorithms?",Social Science,,,335.0,2019-10-31,https://play.google.com/store/books/details?id=Ug3UDwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
An Introductory Guide to Artificial Intelligence for Legal Professionals,"Juan Pavón, María Jesús González-Espejo","The availability of very large data sets and the increase in computing power to process them has led to a renewed intensity in corporate and governmental use of Artificial Intelligence (AI) technologies. This groundbreaking book, the first devoted entirely to the growing presence of AI in the legal profession, responds to the necessity of building up a discipline that due to its novelty requires the pooling of knowledge and experiences of well-respected experts in the AI field, taking into account the impact of AI on the law and legal practice. Essays by internationally known expert authors introduce the essentials of AI in a straightforward and intelligible style, offering jurists as many practical examples and business cases as possible so that they are able to understand the real application of this technology and its impact on their jobs and lives. Elements of the analysis include the following: crucial terms: natural language processing, machine learning and deep learning; regulations in force in major jurisdictions; ethical and social issues; labour and employment issues, including the impact that robots have on employment; prediction of outcome in the legal field (judicial proceedings, patent granting, etc.); massive analysis of documents and identification of patterns from which to derive conclusions; AI and taxation; issues of competition and intellectual property; liability and responsibility of intelligent systems; AI and cybersecurity; AI and data protection; impact on state tax revenues; use of autonomous killer robots in the military; challenges related to privacy; the need to embrace transparency and sustainability; pressure brought by clients on prices; minority languages and AI; danger that the existing gap between large and small businesses will further increase; how to avoid algorithmic biases when AI decides; AI application to due diligence; AI and non-disclosure agreements; and the role of chatbots. Interviews with pioneers in the field are included, so readers get insights into the issues that people are dealing with in day-to-day actualities. Whether conceiving AI as a transformative technology of the labour market and training or an economic and business sector in need of legal advice, this introduction to AI will help practitioners in tax law, labour law, competition law and intellectual property law understand what AI is, what it serves, what is the state of the art and the potential of this technology, how they can benefit from its advantages and what are the risks it presents. As the global economy continues to suffer the repercussions of a framework that was previously fundamentally self-regulatory, policymakers will recognize the urgent need to formulate rules to properly manage the future of AI.",Law,,,313.0,2020-05-14,https://play.google.com/store/books/details?id=NprnDwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
Responsible Artificial Intelligence,Virginia Dignum,"In this book, the author examines the ethical implications of Artificial Intelligence systems as they integrate and replace traditional social structures in new sociocognitive-technological environments. She discusses issues related to the integrity of researchers, technologists, and manufacturers as they design, construct, use, and manage artificially intelligent systems; formalisms for reasoning about moral decisions as part of the behavior of artificial autonomous systems such as agents and robots; and design methodologies for social agents based on societal, moral, and legal values. Throughout the book the author discusses related work, conscious of both classical, philosophical treatments of ethical issues and the implications in modern, algorithmic systems, and she combines regular references and footnotes with suggestions for further reading. This short overview is suitable for undergraduate students, in both technical and non-technical courses, and for interested and concerned researchers, practitioners, and citizens.",Computers,1.0,1.0,133.0,2019-11-04,https://play.google.com/store/books/details?id=EEO8DwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
Artificial Intelligence By Example,Denis Rothman,"Be an adaptive thinker that leads the way to Artificial Intelligence Key Features AI-based examples to guide you in designing and implementing machine intelligence Develop your own method for future AI solutions Acquire advanced AI, machine learning, and deep learning design skills Book Description Artificial Intelligence has the potential to replicate humans in every field. This book serves as a starting point for you to understand how AI is built, with the help of intriguing examples and case studies. Artificial Intelligence By Example will make you an adaptive thinker and help you apply concepts to real-life scenarios. Using some of the most interesting AI examples, right from a simple chess engine to a cognitive chatbot, you will learn how to tackle the machine you are competing with. You will study some of the most advanced machine learning models, understand how to apply AI to blockchain and IoT, and develop emotional quotient in chatbots using neural networks. You will move on to designing AI solutions in a simple manner rather than get confused by complex architectures and techniques. This comprehensive guide will be a starter kit for you to develop AI applications on your own. By the end of this book, will have understood the fundamentals of AI and worked through a number of case studies that will help you develop business vision. What you will learn Use adaptive thinking to solve real-life AI case studies Rise beyond being a modern-day factory code worker Acquire advanced AI, machine learning, and deep learning designing skills Learn about cognitive NLP chatbots, quantum computing, and IoT and blockchain technology Understand future AI solutions and adapt quickly to them Develop out-of-the-box thinking to face any challenge the market presents Who this book is for Artificial Intelligence by Example is a simple, explanatory, and descriptive guide for junior developers, experienced developers, technology consultants, and those interested in AI who want to understand the fundamentals of Artificial Intelligence and implement it practically by devising smart solutions. Prior experience with Python and statistical knowledge is essential to make the most out of this book.",Computers,,,476.0,2018-05-31,https://play.google.com/store/books/details?id=KnxeDwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Practice
The Age of AI,Jason Thacker,"Are robots going to take my job? How are smartphones affecting my kids? Do I need to worry about privacy when I get online or ask Siri for directions? Whatever questions you have about AI, The Age of AI gives you insights on how to navigate this brand-new world as you apply God's ageless truths to your life and future. We interact with artificial intelligence, or AI, nearly every moment of the day without knowing it. From our social media feeds to our smart thermostats and Alexa and Google Home, AI is everywhere--but how is it shaping our world? In The Age of AI, Jason Thacker, associate research fellow at the Ethics and Religious Liberty Commission, helps us navigate our digital age in this thoughtful exploration of the social, moral, and ethical challenges of our ongoing interactions with artificial intelligence. Applying God's Word to this new AI-empowered age, Thacker sheds light on: How Christian truth transforms the way we use AI How AI affects us individually, in our relationships, and in our society at large How to navigate the digital age wisely With theological depth and a wide awareness of the current trends in AI, Jason is a steady guide who reminds us that while technology is changing the world, it can't shake the foundations of the Christian faith. Praise for The Age of AI: ""The Age of AI informs us and assists us in envisioning a future that is filled with tools, influences, opportunities, and challenges relating to artificial intelligence. While many may fear the unknown future before us, Jason Thacker presents the imperative need to always lift up the constancy of the image of God and the dignity of all human life as presented in the Holy Scriptures, the Bible. I am thankful Jason's book can help churches, pastors, theologians, and Christian leaders in all vocations to wrestle through this current topic, always being committed to what this book states profoundly: God-given dignity isn't ours to assign or remove."" --Dr. Ronnie Floyd, president and CEO, Southern Baptist Convention Executive Committee",Technology & Engineering,,,193.0,2020-03-03,https://play.google.com/store/books/details?id=31meDwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
ARTIFICIAL INTELLIGENCE,Joost Nico Kok,"Artificial Intelligence is a component of Encyclopedia of Technology, Information, and Systems Management Resources in the global Encyclopedia of Life Support Systems (EOLSS), which is an integrated compendium of twenty Encyclopedias. The Theme on Artificial Intelligence provides the essential aspects and fundamentals of Artificial Intelligence: Definition, Trends, Techniques, and Cases; Logic in Artificial Intelligence (AI); Computational Intelligence; Knowledge Based System Development Tools. It is aimed at the following five major target audiences: University and College Students, Educators, Professional Practitioners, Research Personnel and Policy Analysts, Managers, and Decision Makers.",Artificial intelligence,,,418.0,2009-12-20,https://play.google.com/store/books/details?id=v_jhDAAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
Artificial Intelligence in Behavioral and Mental Health Care,David D. Luxton,"Artificial Intelligence in Behavioral and Mental Health Care summarizes recent advances in artificial intelligence as it applies to mental health clinical practice. Each chapter provides a technical description of the advance, review of application in clinical practice, and empirical data on clinical efficacy. In addition, each chapter includes a discussion of practical issues in clinical settings, ethical considerations, and limitations of use. The book encompasses AI based advances in decision-making, in assessment and treatment, in providing education to clients, robot assisted task completion, and the use of AI for research and data gathering. This book will be of use to mental health practitioners interested in learning about, or incorporating AI advances into their practice and for researchers interested in a comprehensive review of these advances in one source. - Summarizes AI advances for use in mental health practice - Includes advances in AI based decision-making and consultation - Describes AI applications for assessment and treatment - Details AI advances in robots for clinical settings - Provides empirical data on clinical efficacy - Explores practical issues of use in clinical settings",Psychology,,,309.0,2015-09-10,https://play.google.com/store/books/details?id=INvUBQAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Practice
The Atlas of AI,Kate Crawford,"The hidden costs of artificial intelligence, from natural resources and labor to privacy and freedom What happens when artificial intelligence saturates political life and depletes the planet? How is AI shaping our understanding of ourselves and our societies? In this book Kate Crawford reveals how this planetary network is fueling a shift toward undemocratic governance and increased inequality. Drawing on more than a decade of research, award-winning science, and technology, Crawford reveals how AI is a technology of extraction: from the energy and minerals needed to build and sustain its infrastructure, to the exploited workers behind “automated” services, to the data AI collects from us. Rather than taking a narrow focus on code and algorithms, Crawford offers us a political and a material perspective on what it takes to make artificial intelligence and where it goes wrong. While technical systems present a veneer of objectivity, they are always systems of power. This is an urgent account of what is at stake as technology companies use artificial intelligence to reshape the world.",Computers,,,336.0,2021-04-06,https://play.google.com/store/books/details?id=XvEdEAAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
The AI Advantage,Thomas H. Davenport,"Cutting through the hype, a practical guide to using artificial intelligence for business benefits and competitive advantage. In The AI Advantage, Thomas Davenport offers a guide to using artificial intelligence in business. He describes what technologies are available and how companies can use them for business benefits and competitive advantage. He cuts through the hype of the AI craze—remember when it seemed plausible that IBM's Watson could cure cancer?—to explain how businesses can put artificial intelligence to work now, in the real world. His key recommendation: don't go for the “moonshot” (curing cancer, or synthesizing all investment knowledge); look for the “low-hanging fruit” to make your company more efficient. Davenport explains that the business value AI offers is solid rather than sexy or splashy. AI will improve products and processes and make decisions better informed—important but largely invisible tasks. AI technologies won't replace human workers but augment their capabilities, with smart machines to work alongside smart people. AI can automate structured and repetitive work; provide extensive analysis of data through machine learning (“analytics on steroids”), and engage with customers and employees via chatbots and intelligent agents. Companies should experiment with these technologies and develop their own expertise. Davenport describes the major AI technologies and explains how they are being used, reports on the AI work done by large commercial enterprises like Amazon and Google, and outlines strategies and steps to becoming a cognitive corporation. This book provides an invaluable guide to the real-world future of business AI. A book in the Management on the Cutting Edge series, published in cooperation with MIT Sloan Management Review.",Business & Economics,,,243.0,2018-10-16,http://books.google.com/books?id=JzNwDwAAQBAJ&dq=artificial+intelligence&hl=&as_pt=BOOKS&source=gbs_api,artificial intelligence,Beginner,Practice
Understanding Artificial Intelligence,Ralf T. Kreutzer,"This book on Artificial Intelligence (AI) explores its transformative potential for individuals and businesses. It covers AI basics and its applications across various industries, presenting AI as a foundational technology that will impact all aspects of life and the economy. The author emphasizes the need for responsible AI usage and introduces the concept of the ""AI Journey"" for businesses to leverage AI's potential. The second edition is updated with recent developments, including large language models like Aleph Alpha and ChatGPT, generative AI, affective computing, and ethical considerations. It also discusses open-source solutions, legal frameworks, and practical use cases. Recommended for leaders, decision-makers, students, professors, and anyone interested in understanding AI's future impact.",Business & Economics,,,491.0,2024-12-11,https://play.google.com/store/books/details?id=YmE3EQAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
The AI Book,"Ivana Bartoletti, Anne Leslie, Shân M. Millie","Written by prominent thought leaders in the global fintech space, The AI Book aggregates diverse expertise into a single, informative volume and explains what artifical intelligence really means and how it can be used across financial services today. Key industry developments are explained in detail, and critical insights from cutting-edge practitioners offer first-hand information and lessons learned. Coverage includes: · Understanding the AI Portfolio: from machine learning to chatbots, to natural language processing (NLP); a deep dive into the Machine Intelligence Landscape; essentials on core technologies, rethinking enterprise, rethinking industries, rethinking humans; quantum computing and next-generation AI · AI experimentation and embedded usage, and the change in business model, value proposition, organisation, customer and co-worker experiences in today’s Financial Services Industry · The future state of financial services and capital markets – what’s next for the real-world implementation of AITech? · The innovating customer – users are not waiting for the financial services industry to work out how AI can re-shape their sector, profitability and competitiveness · Boardroom issues created and magnified by AI trends, including conduct, regulation & oversight in an algo-driven world, cybersecurity, diversity & inclusion, data privacy, the ‘unbundled corporation’ & the future of work, social responsibility, sustainability, and the new leadership imperatives · Ethical considerations of deploying Al solutions and why explainable Al is so important",Business & Economics,,,307.0,2020-06-04,https://play.google.com/store/books/details?id=i3vpDwAAQBAJ&source=gbs_api,AI,Beginner,Theory
Doing AI,Richard Heimann,"Artificial intelligence (AI) has captured our imaginations—and become a distraction. Too many leaders embrace the oversized narratives of artificial minds outpacing human intelligence and lose sight of the original problems they were meant to solve. When businesses try to “do AI,” they place an abstract solution before problems and customers without fully considering whether it is wise, whether the hype is true, or how AI will impact their organization in the long term. Often absent is sound reasoning for why they should go down this path in the first place. Doing AI explores AI for what it actually is—and what it is not— and the problems it can truly solve. In these pages, author Richard Heimann unravels the tricky relationship between problems and high-tech solutions, exploring the pitfalls in solution-centric thinking and explaining how businesses should rethink AI in a way that aligns with their cultures, goals, and values. As the Chief AI Officer at Cybraics Inc., Richard Heimann knows from experience that AI-specific strategies are often bad for business. Doing AI is his comprehensive guide that will help readers understand AI, avoid common pitfalls, and identify beneficial applications for their companies. This book is a must-read for anyone looking for clarity and practical guidance for identifying problems and effectively solving them, rather than getting sidetracked by a shiny new “solution” that doesn’t solve anything.",Technology & Engineering,,,273.0,2021-12-14,http://books.google.com/books?id=ZO9KEAAAQBAJ&dq=AI&hl=&as_pt=BOOKS&source=gbs_api,AI,Beginner,Theory
AI 2041,"Kai-Fu Lee, Chen Qiufan","How will AI change our world within twenty years? A pioneering technologist and acclaimed writer team up for a “dazzling” (The New York Times) look at the future that “brims with intriguing insights” (Financial Times). This edition includes a new foreword by Kai-Fu Lee. A BEST BOOK OF THE YEAR: The Wall Street Journal, The Washington Post, Financial Times Long before the advent of ChatGPT, Kai-Fu Lee and Chen Qiufan understood the enormous potential of artificial intelligence to transform our daily lives. But even as the world wakes up to the power of AI, many of us still fail to grasp the big picture. Chatbots and large language models are only the beginning. In this “inspired collaboration” (The Wall Street Journal), Lee and Chen join forces to imagine our world in 2041 and how it will be shaped by AI. In ten gripping, globe-spanning short stories and accompanying commentary, their book introduces readers to an array of eye-opening settings and characters grappling with the new abundance and potential harms of AI technologies like deep learning, mixed reality, robotics, artificial general intelligence, and autonomous weapons.",Social Science,,,497.0,2024-03-05,http://books.google.com/books?id=JR_jEAAAQBAJ&dq=AI&hl=&as_pt=BOOKS&source=gbs_api,AI,Beginner,Theory
AI as a Service,"Peter Elger, Eoin Shanaghy","AI as a Service is a practical handbook to building and implementing serverless AI applications, without bogging you down with a lot of theory. Instead, you’ll find easy-to-digest instruction and two complete hands-on serverless AI builds in this must-have guide! Summary Companies everywhere are moving everyday business processes over to the cloud, and AI is increasingly being given the reins in these tasks. As this massive digital transformation continues, the combination of serverless computing and AI promises to become the de facto standard for business-to-consumer platform development—and developers who can design, develop, implement, and maintain these systems will be in high demand! AI as a Service is a practical handbook to building and implementing serverless AI applications, without bogging you down with a lot of theory. Instead, you’ll find easy-to-digest instruction and two complete hands-on serverless AI builds in this must-have guide! Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Cloud-based AI services can automate a variety of labor intensive business tasks in areas such as customer service, data analysis, and financial reporting. The secret is taking advantage of pre-built tools like Amazon Rekognition for image analysis or AWS Comprehend for natural language processing. That way, there’s no need to build expensive custom software. Artificial Intelligence (AI), a machine’s ability to learn and make predictions based on patterns it identifies, is already being leveraged by businesses around the world in areas like targeted product recommendations, financial forecasting and resource planning, customer service chatbots, healthcare diagnostics, data security, and more. With the exciting combination of serverless computing and AI, software developers now have enormous power to improve their businesses’ existing systems and rapidly deploy new AI-enabled platforms. And to get on this fast-moving train, you don’t have to invest loads of time and effort in becoming a data scientist or AI expert, thanks to cloud platforms and the readily available off-the-shelf cloud-based AI services! About the book AI as a Service is a fast-paced guide to harnessing the power of cloud-based solutions. You’ll learn to build real-world apps—such as chatbots and text-to-speech services—by stitching together cloud components. Work your way from small projects to large data-intensive applications. What's inside - Apply cloud AI services to existing platforms - Design and build scalable data pipelines - Debug and troubleshoot AI services - Start fast with serverless templates About the reader For software developers familiar with cloud basics. About the author Peter Elger and Eóin Shanaghy are founders and CEO/CTO of fourTheorem, a software solutions company providing expertise on architecture, DevOps, and machine learning. Table of Contents PART 1 - FIRST STEPS 1 A tale of two technologies 2 Building a serverless image recognition system, part 1 3 Building a serverless image recognition system, part 2 PART 2 - TOOLS OF THE TRADE 4 Building and securing a web application the serverless way 5 Adding AI interfaces to a web application 6 How to be effective with AI as a Service 7 Applying AI to existing platforms PART 3 - BRINGING IT ALL TOGETHER 8 Gathering data at scale for real-world AI 9 Extracting value from large data sets with AI",Computers,,,326.0,2020-10-06,http://books.google.com/books?id=BeT7DwAAQBAJ&dq=AI&hl=&as_pt=BOOKS&source=gbs_api,AI,Beginner,Practice
Trustworthy AI,Beena Ammanath,"An essential resource on artificial intelligence ethics for business leaders In Trustworthy AI, award-winning executive Beena Ammanath offers a practical approach for enterprise leaders to manage business risk in a world where AI is everywhere by understanding the qualities of trustworthy AI and the essential considerations for its ethical use within the organization and in the marketplace. The author draws from her extensive experience across different industries and sectors in data, analytics and AI, the latest research and case studies, and the pressing questions and concerns business leaders have about the ethics of AI. Filled with deep insights and actionable steps for enabling trust across the entire AI lifecycle, the book presents: In-depth investigations of the key characteristics of trustworthy AI, including transparency, fairness, reliability, privacy, safety, robustness, and more A close look at the potential pitfalls, challenges, and stakeholder concerns that impact trust in AI application Best practices, mechanisms, and governance considerations for embedding AI ethics in business processes and decision making Written to inform executives, managers, and other business leaders, Trustworthy AI breaks new ground as an essential resource for all organizations using AI.",Computers,,,230.0,2022-03-15,https://play.google.com/store/books/details?id=A5xkEAAAQBAJ&source=gbs_api,AI,Beginner,Theory
Deep Learning for Coders with fastai and PyTorch,"Jeremy Howard, Sylvain Gugger","Deep learning is often viewed as the exclusive domain of math PhDs and big tech companies. But as this hands-on guide demonstrates, programmers comfortable with Python can achieve impressive results in deep learning with little math background, small amounts of data, and minimal code. How? With fastai, the first library to provide a consistent interface to the most frequently used deep learning applications. Authors Jeremy Howard and Sylvain Gugger, the creators of fastai, show you how to train a model on a wide range of tasks using fastai and PyTorch. You’ll also dive progressively further into deep learning theory to gain a complete understanding of the algorithms behind the scenes. Train models in computer vision, natural language processing, tabular data, and collaborative filtering Learn the latest deep learning techniques that matter most in practice Improve accuracy, speed, and reliability by understanding how deep learning models work Discover how to turn your models into web applications Implement deep learning algorithms from scratch Consider the ethical implications of your work Gain insight from the foreword by PyTorch cofounder, Soumith Chintala",Computers,,,624.0,2020-06-29,http://books.google.com/books?id=yATuDwAAQBAJ&dq=AI&hl=&as_pt=BOOKS&source=gbs_api,AI,Beginner,Practice
